// JOGOS
// Version 1.05
// File Date:2025/07/15 19:05:11
// (C) 2019-2023 JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
Model=JOGOS
Type=INFINITY

[Head]
SondeName=AEM-USB
SondeNo=1919
SensorType=T0R0R1X0Y0B0
SensorType2=030101020202
Channel=6
Comment=Kelompok 13 dan 14
MeasMode=1

PreHeat=3000
Interval=1000
BurstCnt=10
BurstTime=1
WiperInterval=0
DelayTime=0
BuzzerEN=1
BuzzerInterval=1
BuzzerNumber=3
SampleCnt=6950

StartTime=2025/07/15 07:30:00
EndTime=2025/07/15 19:04:09

DepAdjRho=0.0000

ECA=0
ECB=0
ECDeg=0
ECCoef=0.000

CHLA=0
CHLB=0

AlphaData=0.1
BetaData=-3.11

PC_SWA=0
PC_SWB=0
PC_SWC=0
PC_SWD=0

DepthZero=0
StartDepthA=0
StartDepthB=0

FilmNo=

CondDepB=0
DepM=0

FormulaDOM=0
ExplanationDOM=Weiss (1970)

CoefDate=2021/11/11

Ch1=-1.359212e+01,+1.340604e-03,-1.266932e-08,+1.499809e-13,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=-1.247062e+00,-1.303731e-05,+2.376205e-09,-2.434040e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch3=-1.135576e+00,-2.468658e-05,+2.747151e-09,-2.820625e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch4=-6.008107e+02,+1.832601e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=-6.050220e+02,+1.845396e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch6=0.000000000e00,1.152000000e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Measurement Date/Time,Vel. [cm/sec],Dir. [°],Vel.-NS [cm/sec],Vel.-EW [cm/sec],Temp. [℃],Comp A,Comp B,Compass [°],Vel.-X [cm/sec],Vel.-Y [cm/sec],Batt. [V]
2025/07/15 07:33:04,111.425,199.364,-105.122,-36.945,28.523,-0.5,0.8,324.546,-83.65,-58.97,2.98,
2025/07/15 07:33:05,110.175,231.863,-68.037,-86.657,28.526,-0.5,0.9,328.050,-109.03,-11.82,2.98,
2025/07/15 07:33:06,55.280,114.696,-23.096,50.224,28.525,-0.4,0.9,329.548,29.04,-41.70,2.98,
2025/07/15 07:33:07,105.904,196.505,-101.540,-30.088,28.523,-0.5,0.9,328.996,-71.04,-65.08,2.98,
2025/07/15 07:33:08,65.886,329.903,57.003,-33.040,28.519,-0.5,0.9,329.019,1.02,65.87,2.98,
2025/07/15 07:33:09,34.877,11.292,34.202,6.829,28.514,-0.5,0.9,329.311,21.23,23.59,2.98,
2025/07/15 07:34:00,135.627,205.988,-121.913,-59.428,28.471,-0.9,-0.5,238.673,-67.65,105.44,2.98,
2025/07/15 07:34:01,82.223,259.917,-14.395,-80.953,28.470,-0.9,-0.4,240.932,25.77,74.91,2.98,
2025/07/15 07:34:02,56.025,170.534,-55.262,9.214,28.472,-0.9,-0.4,242.824,-51.64,16.49,2.98,
2025/07/15 07:34:03,143.277,285.682,38.728,-137.944,28.473,-0.9,-0.4,242.117,89.79,94.40,2.98,
2025/07/15 07:34:04,13.770,57.999,7.297,11.677,28.477,-0.9,-0.4,241.623,0.87,-13.72,2.98,
2025/07/15 07:34:05,123.541,237.433,-66.500,-104.116,28.479,-0.9,-0.5,238.722,-2.78,123.48,2.98,
2025/07/15 07:34:06,197.519,352.222,195.701,-26.733,28.481,-0.9,-0.5,239.254,172.93,-73.29,2.98,
2025/07/15 07:34:07,56.807,242.221,-26.475,-50.260,28.481,-0.9,-0.5,239.382,2.81,56.68,2.98,
2025/07/15 07:34:08,74.979,111.153,-27.057,69.927,28.481,-0.9,-0.4,240.340,-53.03,-43.23,2.98,
2025/07/15 07:34:09,64.704,280.169,11.423,-63.687,28.482,-0.9,-0.4,240.742,37.48,45.59,2.98,
2025/07/15 07:35:00,61.387,123.951,-34.283,50.922,28.422,0.2,1.0,6.836,51.27,-26.25,2.98,
