// JOGOS
// Version 1.05
// File Date:2025/07/15 19:05:11
// (C) 2019-2023 JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
Model=JOGOS
Type=INFINITY

[Head]
SondeName=AEM-USB
SondeNo=1919
SensorType=T0R0R1X0Y0B0
SensorType2=030101020202
Channel=6
Comment=Kelompok 13 dan 14
MeasMode=1

PreHeat=3000
Interval=1000
BurstCnt=10
BurstTime=1
WiperInterval=0
DelayTime=0
BuzzerEN=1
BuzzerInterval=1
BuzzerNumber=3
SampleCnt=6950

StartTime=2025/07/15 07:30:00
EndTime=2025/07/15 19:04:09

DepAdjRho=0.0000

ECA=0
ECB=0
ECDeg=0
ECCoef=0.000

CHLA=0
CHLB=0

AlphaData=0.1
BetaData=-3.11

PC_SWA=0
PC_SWB=0
PC_SWC=0
PC_SWD=0

DepthZero=0
StartDepthA=0
StartDepthB=0

FilmNo=

CondDepB=0
DepM=0

FormulaDOM=0
ExplanationDOM=Weiss (1970)

CoefDate=2021/11/11

Ch1=-1.359212e+01,+1.340604e-03,-1.266932e-08,+1.499809e-13,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=-1.247062e+00,-1.303731e-05,+2.376205e-09,-2.434040e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch3=-1.135576e+00,-2.468658e-05,+2.747151e-09,-2.820625e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch4=-6.008107e+02,+1.832601e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=-6.050220e+02,+1.845396e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch6=0.000000000e00,1.152000000e-04,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Measurement Date/Time,Vel. [cm/sec],Dir. [°],Vel.-NS [cm/sec],Vel.-EW [cm/sec],Temp. [℃],Comp A,Comp B,Compass [°],Vel.-X [cm/sec],Vel.-Y [cm/sec],Batt. [V]
2025/07/15 10:32:04,28.536,177.757,-28.514,1.117,29.327,0.7,-0.7,133.189,18.21,18.48,2.95,
2025/07/15 10:32:05,19.496,189.627,-19.221,-3.260,29.324,0.6,-0.8,142.729,12.95,12.12,2.94,
2025/07/15 10:32:06,34.073,165.811,-33.034,8.352,29.326,0.5,-0.8,146.332,10.93,30.90,2.94,
2025/07/15 10:32:07,29.222,166.956,-28.468,6.596,29.325,0.5,-0.8,144.267,10.73,25.66,2.94,
2025/07/15 10:32:08,34.173,183.562,-34.107,-2.123,29.326,0.6,-0.8,139.196,21.72,22.21,2.94,
2025/07/15 10:32:09,27.818,191.756,-27.235,-5.668,29.325,0.6,-0.8,138.534,20.40,15.25,2.94,
2025/07/15 10:33:00,22.360,194.535,-21.644,-5.612,29.327,0.4,-0.9,153.290,13.42,15.31,2.95,
2025/07/15 10:33:01,24.241,201.344,-22.579,-8.823,29.327,0.4,-0.9,150.607,17.12,14.00,2.95,
2025/07/15 10:33:02,23.255,205.494,-20.991,-10.009,29.330,0.4,-0.9,150.254,17.56,12.19,2.95,
2025/07/15 10:33:03,14.079,220.711,-10.672,-9.183,29.331,0.3,-0.9,157.065,11.86,5.88,2.94,
2025/07/15 10:33:04,26.303,200.843,-24.582,-9.359,29.330,0.3,-0.9,158.692,16.06,17.74,2.94,
2025/07/15 10:33:05,23.387,202.932,-21.539,-9.112,29.331,0.4,-0.9,155.822,15.58,14.48,2.94,
2025/07/15 10:33:06,23.865,210.167,-20.633,-11.993,29.327,0.4,-0.9,154.650,18.10,12.43,2.94,
2025/07/15 10:33:07,24.129,200.933,-22.537,-8.621,29.330,0.4,-0.9,155.253,15.69,15.33,2.94,
2025/07/15 10:33:08,22.958,200.683,-21.479,-8.109,29.330,0.3,-0.9,156.457,14.56,14.96,2.94,
2025/07/15 10:33:09,27.090,202.263,-25.071,-10.263,29.330,0.3,-0.9,156.225,17.73,17.10,2.94,
2025/07/15 10:34:00,25.866,171.186,-25.561,3.964,29.303,0.4,-0.9,153.802,7.48,23.91,2.95,
2025/07/15 10:34:01,23.890,169.483,-23.488,4.360,29.304,0.4,-0.9,152.391,6.81,22.14,2.95,
2025/07/15 10:34:02,22.854,169.322,-22.458,4.235,29.305,0.4,-0.9,152.539,6.40,21.23,2.95,
2025/07/15 10:34:03,25.243,169.011,-24.780,4.812,29.304,0.4,-0.9,152.489,6.97,23.50,2.94,
2025/07/15 10:34:04,28.588,166.104,-27.752,6.866,29.304,0.4,-0.9,152.178,6.73,27.16,2.94,
2025/07/15 10:34:05,23.406,160.741,-22.096,7.720,29.304,0.4,-0.9,152.369,3.38,22.97,2.94,
2025/07/15 10:34:06,27.169,172.508,-26.937,3.543,29.303,0.4,-0.9,152.117,9.08,24.42,2.94,
2025/07/15 10:34:07,26.259,163.297,-25.151,7.547,29.303,0.4,-0.9,151.454,5.30,25.29,2.94,
2025/07/15 10:34:08,25.201,167.187,-24.573,5.589,29.304,0.4,-0.9,151.946,6.46,23.70,2.94,
2025/07/15 10:34:09,24.586,165.339,-23.786,6.223,29.303,0.4,-0.9,151.861,5.62,23.43,2.94,
2025/07/15 10:35:00,26.385,155.782,-24.062,10.823,29.301,0.6,-0.8,141.492,6.37,25.00,2.95,
2025/07/15 10:35:01,29.707,160.823,-28.059,9.758,29.302,0.6,-0.8,140.105,10.07,26.62,2.95,
2025/07/15 10:35:02,26.595,159.450,-24.903,9.336,29.302,0.6,-0.8,138.896,8.95,23.87,2.94,
2025/07/15 10:35:03,24.981,156.973,-22.990,9.772,29.303,0.6,-0.8,139.252,7.36,23.02,2.94,
2025/07/15 10:35:04,23.589,155.675,-21.495,9.717,29.304,0.6,-0.8,139.710,6.31,22.06,2.94,
2025/07/15 10:35:05,26.842,158.061,-24.898,10.029,29.303,0.6,-0.8,140.516,7.83,24.77,2.94,
2025/07/15 10:35:06,29.214,160.369,-27.516,9.815,29.303,0.6,-0.8,140.076,9.72,26.29,2.94,
2025/07/15 10:35:07,25.907,158.173,-24.050,9.633,29.305,0.6,-0.8,139.648,7.94,23.70,2.94,
2025/07/15 10:35:08,25.115,164.210,-24.167,6.834,29.305,0.6,-0.8,141.713,9.15,22.10,2.94,
2025/07/15 10:35:09,24.103,161.444,-22.850,7.670,29.305,0.6,-0.8,142.144,7.67,21.90,2.94,
2025/07/15 10:36:00,24.294,148.402,-20.693,12.729,29.303,0.7,-0.7,131.571,6.82,22.56,2.95,
2025/07/15 10:36:01,26.298,150.206,-22.822,13.067,29.304,0.7,-0.7,131.146,8.27,23.94,2.94,
2025/07/15 10:36:02,24.520,148.260,-20.853,12.899,29.304,0.7,-0.7,131.012,7.04,22.69,2.94,
2025/07/15 10:36:03,27.429,150.055,-23.767,13.692,29.304,0.7,-0.7,131.013,8.62,24.98,2.94,
2025/07/15 10:36:04,27.124,149.394,-23.346,13.810,29.304,0.7,-0.7,130.841,8.33,24.81,2.94,
2025/07/15 10:36:05,24.840,148.399,-21.157,13.017,29.303,0.7,-0.7,130.957,7.21,22.95,2.94,
2025/07/15 10:36:06,23.807,149.429,-20.498,12.108,29.303,0.7,-0.7,131.103,7.23,21.82,2.94,
2025/07/15 10:36:07,25.088,153.489,-22.450,11.199,29.304,0.7,-0.7,131.171,9.08,22.12,2.94,
2025/07/15 10:36:08,28.591,152.921,-25.457,13.015,29.303,0.7,-0.7,131.285,10.07,25.38,2.94,
2025/07/15 10:36:09,25.242,146.444,-21.035,13.952,29.303,0.7,-0.7,132.015,6.15,23.89,2.94,
2025/07/15 10:37:00,21.573,173.058,-21.415,2.607,29.311,0.5,-0.9,147.339,8.82,18.32,2.95,
2025/07/15 10:37:01,24.380,176.450,-24.333,1.510,29.311,0.5,-0.9,147.640,10.97,19.94,2.94,
2025/07/15 10:37:02,29.622,180.125,-29.622,-0.065,29.312,0.5,-0.9,147.182,14.87,22.95,2.94,
2025/07/15 10:37:03,26.886,174.032,-26.740,2.795,29.312,0.5,-0.8,144.616,12.30,21.82,2.94,
2025/07/15 10:37:04,23.319,173.389,-23.164,2.685,29.311,0.5,-0.8,143.354,10.86,18.78,2.94,
2025/07/15 10:37:05,24.443,169.053,-23.998,4.642,29.312,0.5,-0.8,143.944,9.79,20.90,2.94,
2025/07/15 10:37:06,23.434,176.289,-23.384,1.517,29.311,0.6,-0.8,142.740,11.94,18.00,2.94,
2025/07/15 10:37:07,27.258,179.287,-27.256,0.339,29.312,0.6,-0.8,140.339,15.64,19.35,2.94,
2025/07/15 10:37:08,23.709,179.076,-23.706,0.382,29.311,0.6,-0.8,139.455,13.79,16.66,2.94,
2025/07/15 10:37:09,24.376,183.842,-24.321,-1.633,29.312,0.6,-0.8,139.952,15.36,15.97,2.94,
2025/07/15 10:38:00,26.528,177.496,-26.503,1.159,29.304,0.5,-0.8,143.438,13.68,20.24,2.95,
2025/07/15 10:38:01,20.404,181.299,-20.399,-0.463,29.305,0.5,-0.9,148.610,10.18,15.86,2.94,
2025/07/15 10:38:02,25.103,177.450,-25.078,1.117,29.305,0.4,-0.9,153.901,9.52,21.84,2.94,
2025/07/15 10:38:03,25.621,178.056,-25.606,0.869,29.305,0.4,-0.9,153.873,9.94,22.14,2.94,
2025/07/15 10:38:04,26.605,179.441,-26.604,0.260,29.307,0.4,-0.9,150.184,12.12,21.64,2.94,
2025/07/15 10:38:05,25.800,185.698,-25.673,-2.562,29.308,0.5,-0.8,146.037,15.02,18.11,2.94,
2025/07/15 10:38:06,20.971,173.630,-20.841,2.327,29.308,0.5,-0.9,148.783,8.33,17.98,2.94,
2025/07/15 10:38:07,25.801,182.684,-25.773,-1.208,29.308,0.4,-0.9,149.702,12.96,19.98,2.94,
2025/07/15 10:38:08,25.067,182.496,-25.043,-1.091,29.309,0.5,-0.9,147.707,13.15,18.92,2.94,
2025/07/15 10:38:09,23.175,175.889,-23.116,1.661,29.308,0.5,-0.9,148.437,10.01,19.28,2.94,
2025/07/15 10:39:00,28.335,182.435,-28.310,-1.204,29.304,0.6,-0.8,142.747,16.50,19.88,2.95,
2025/07/15 10:39:01,24.226,178.433,-24.217,0.662,29.304,0.6,-0.8,141.488,13.33,17.73,2.94,
2025/07/15 10:39:02,29.343,178.173,-29.328,0.936,29.305,0.6,-0.8,137.837,17.31,20.38,2.94,
2025/07/15 10:39:03,18.009,174.946,-17.939,1.586,29.304,0.6,-0.8,137.858,9.94,13.15,2.94,
2025/07/15 10:39:04,21.426,192.484,-20.919,-4.632,29.305,0.5,-0.9,147.191,13.84,13.70,2.94,
2025/07/15 10:39:05,27.354,177.551,-27.329,1.169,29.305,0.5,-0.9,147.122,12.87,21.91,2.94,
2025/07/15 10:39:06,30.863,178.818,-30.856,0.637,29.304,0.6,-0.8,142.637,16.70,22.84,2.94,
2025/07/15 10:39:07,26.338,180.190,-26.338,-0.087,29.307,0.6,-0.8,141.909,14.91,18.89,2.94,
2025/07/15 10:39:08,26.229,180.109,-26.229,-0.050,29.307,0.6,-0.8,142.876,14.52,19.11,2.94,
2025/07/15 10:39:09,24.591,176.276,-24.539,1.597,29.307,0.6,-0.8,140.892,13.07,18.41,2.94,
2025/07/15 10:40:00,24.328,193.318,-23.674,-5.604,29.310,0.4,-0.9,151.181,14.85,16.42,2.94,
2025/07/15 10:40:01,30.140,187.237,-29.900,-3.797,29.311,0.5,-0.9,147.515,17.56,21.14,2.94,
2025/07/15 10:40:02,23.829,187.793,-23.609,-3.231,29.310,0.5,-0.8,145.952,14.47,16.16,2.94,
2025/07/15 10:40:03,20.843,197.653,-19.862,-6.321,29.310,0.4,-0.9,154.035,13.07,13.72,2.94,
2025/07/15 10:40:04,30.449,190.596,-29.930,-5.599,29.311,0.3,-0.9,156.306,15.79,23.15,2.94,
2025/07/15 10:40:05,34.586,187.313,-34.304,-4.402,29.311,0.4,-0.9,151.662,18.50,25.79,2.94,
2025/07/15 10:40:06,34.126,183.809,-34.050,-2.267,29.312,0.5,-0.8,144.261,19.82,24.00,2.94,
2025/07/15 10:40:07,30.926,183.008,-30.883,-1.623,29.311,0.6,-0.8,140.858,18.88,20.86,2.94,
2025/07/15 10:40:08,29.337,182.241,-29.314,-1.147,29.310,0.6,-0.7,135.544,19.41,18.30,2.94,
2025/07/15 10:40:09,36.119,181.836,-36.100,-1.157,29.310,0.7,-0.7,134.588,24.12,22.30,2.94,
2025/07/15 10:41:00,44.220,161.558,-41.949,13.989,29.327,0.9,-0.2,98.040,37.21,18.54,2.95,
2025/07/15 10:41:01,24.445,151.603,-21.503,11.625,29.329,0.9,-0.1,90.161,20.06,10.92,2.94,
2025/07/15 10:41:02,32.293,178.526,-32.282,0.831,29.331,0.9,-0.1,91.659,32.21,1.76,2.94,
2025/07/15 10:41:03,33.490,167.951,-32.752,6.991,29.331,0.9,-0.1,95.241,30.98,9.64,2.94,
2025/07/15 10:41:04,24.710,192.000,-24.170,-5.138,29.332,0.9,-0.2,99.710,24.67,-0.99,2.94,
2025/07/15 10:41:05,26.158,183.992,-26.094,-1.821,29.333,0.9,-0.3,103.577,25.52,4.31,2.94,
2025/07/15 10:41:06,15.676,169.922,-15.435,2.743,29.333,0.9,-0.3,104.184,13.53,6.10,2.94,
2025/07/15 10:41:07,121.271,259.740,-21.599,-119.332,29.327,1.0,0.0,85.034,11.15,-120.35,2.94,
2025/07/15 10:41:08,128.503,359.210,128.490,-1.772,29.309,1.0,-0.1,91.652,-128.29,-5.47,2.94,
2025/07/15 10:41:09,189.874,133.752,-131.306,137.152,29.315,0.9,-0.4,108.537,76.35,162.15,2.94,
2025/07/15 10:42:00,663.224,282.003,137.925,-648.724,28.693,0.7,0.7,45.486,-509.97,-337.33,2.94,
2025/07/15 10:42:01,486.933,299.711,241.335,-422.920,28.711,0.7,0.7,44.205,-460.62,-119.07,2.94,
2025/07/15 10:42:02,769.348,278.931,119.432,-760.021,28.733,0.7,0.7,45.465,-566.34,-419.60,2.94,
2025/07/15 10:42:03,274.863,296.729,123.624,-245.494,28.758,0.8,0.6,46.538,-248.49,-89.51,2.94,
2025/07/15 10:42:04,418.148,243.325,-187.718,-373.644,28.783,0.8,0.6,46.885,-114.95,-389.57,2.94,
2025/07/15 10:42:05,565.257,293.249,223.120,-519.358,28.802,0.8,0.6,47.345,-488.84,-218.63,2.94,
2025/07/15 10:42:06,690.929,288.365,217.690,-655.739,28.816,0.8,0.6,47.197,-564.95,-311.00,2.94,
2025/07/15 10:42:07,721.291,281.467,143.393,-706.894,28.824,0.8,0.6,46.973,-538.98,-384.53,2.94,
2025/07/15 10:42:08,692.386,280.186,122.442,-681.473,28.825,0.8,0.6,48.074,-499.50,-388.69,2.94,
2025/07/15 10:42:09,704.519,289.499,235.161,-664.113,28.824,0.8,0.6,49.799,-565.37,-330.37,2.94,
2025/07/15 10:43:00,754.311,349.959,742.756,-131.521,28.898,0.7,0.7,44.240,-561.92,404.06,2.95,
2025/07/15 10:43:01,794.145,353.072,788.346,-95.794,28.902,0.7,0.7,43.973,-562.42,457.04,2.95,
2025/07/15 10:43:02,647.683,348.119,633.808,-133.346,28.900,0.7,0.7,43.596,-490.82,337.62,2.95,
2025/07/15 10:43:03,386.156,309.317,244.675,-298.749,28.889,0.7,0.7,45.581,-382.05,-41.94,2.94,
2025/07/15 10:43:04,490.645,278.209,70.054,-485.618,28.876,0.7,0.7,45.483,-357.24,-271.89,2.94,
2025/07/15 10:43:05,661.993,290.850,235.624,-618.641,28.856,0.7,0.6,45.792,-567.09,-263.73,2.94,
2025/07/15 10:43:06,592.092,328.008,502.165,-313.695,28.847,0.7,0.7,45.340,-567.29,127.51,2.94,
2025/07/15 10:43:07,584.674,326.291,486.371,-324.479,28.839,0.7,0.7,44.949,-564.86,113.30,2.94,
2025/07/15 10:43:08,733.966,276.501,83.094,-729.247,28.827,0.7,0.7,42.730,-542.72,-397.64,2.94,
2025/07/15 10:43:09,509.025,331.833,448.744,-240.281,28.819,0.7,0.7,42.799,-463.57,159.93,2.94,
2025/07/15 10:44:00,662.039,350.102,652.185,-113.799,28.824,0.7,0.7,42.503,-479.69,369.40,2.95,
2025/07/15 10:44:01,565.410,327.425,476.465,-304.416,28.819,0.7,0.7,42.483,-533.06,142.25,2.94,
2025/07/15 10:44:02,565.944,313.685,390.893,-409.263,28.808,0.7,0.7,41.667,-565.31,19.92,2.94,
2025/07/15 10:44:03,612.477,333.444,547.861,-273.819,28.796,0.7,0.7,39.933,-533.10,231.92,2.94,
2025/07/15 10:44:04,609.313,340.875,575.681,-199.633,28.783,0.7,0.7,38.854,-477.97,298.91,2.95,
2025/07/15 10:44:05,656.874,259.611,-118.450,-646.106,28.764,0.7,0.7,39.191,-388.08,-455.67,2.94,
2025/07/15 10:44:06,550.656,311.317,363.555,-413.582,28.745,0.7,0.7,38.846,-549.74,23.72,2.94,
2025/07/15 10:44:07,623.164,289.458,207.583,-587.573,28.735,0.7,0.7,38.759,-566.10,-198.26,2.94,
2025/07/15 10:44:08,643.778,284.518,161.387,-623.221,28.722,0.7,0.7,39.106,-553.69,-253.36,2.94,
2025/07/15 10:44:09,542.438,299.791,269.506,-470.750,28.727,0.7,0.7,40.367,-526.37,-98.28,2.94,
2025/07/15 10:45:00,361.893,261.183,-55.469,-357.617,28.668,-0.3,0.9,337.588,-344.56,83.33,2.94,
2025/07/15 10:45:01,587.990,309.998,377.938,-450.439,28.682,-0.3,0.9,337.844,-257.11,486.70,2.95,
2025/07/15 10:45:02,662.279,277.449,85.859,-656.690,28.683,-0.3,0.9,339.637,-548.42,289.29,2.95,
2025/07/15 10:45:03,765.423,287.942,235.787,-728.201,28.682,-0.3,1.0,341.847,-567.09,413.45,2.95,
2025/07/15 10:45:04,766.177,291.226,277.394,-714.199,28.681,-0.3,0.9,341.292,-535.59,448.37,2.95,
2025/07/15 10:45:05,768.368,291.132,277.015,-716.695,28.675,-0.2,1.0,342.667,-549.48,436.54,2.95,
2025/07/15 10:45:06,664.071,288.875,214.826,-628.363,28.657,-0.2,1.0,344.633,-505.24,343.90,2.95,
2025/07/15 10:45:07,275.321,241.411,-131.746,-241.753,28.641,-0.2,1.0,346.216,-259.84,-68.68,2.94,
2025/07/15 10:45:08,649.779,283.994,157.126,-630.495,28.619,-0.1,1.0,348.424,-552.63,264.42,2.94,
2025/07/15 10:45:09,860.662,303.152,470.665,-720.565,28.608,-0.1,1.0,349.031,-561.72,544.75,2.95,
2025/07/15 10:46:00,479.251,6.434,476.232,53.704,28.532,-0.2,1.0,344.480,170.95,424.10,2.95,
2025/07/15 10:46:01,697.706,289.647,234.590,-657.086,28.525,-0.2,1.0,344.951,-527.43,365.16,2.95,
2025/07/15 10:46:02,451.724,320.006,346.070,-290.327,28.525,-0.2,1.0,343.038,-168.02,395.22,2.95,
2025/07/15 10:46:03,807.494,296.690,362.692,-721.457,28.518,-0.3,0.9,339.986,-503.57,534.45,2.95,
2025/07/15 10:46:04,836.867,290.634,294.912,-783.181,28.522,-0.3,0.9,338.699,-566.54,508.95,2.95,
2025/07/15 10:46:05,663.666,7.442,658.076,85.959,28.513,-0.3,0.9,338.744,297.57,543.57,2.95,
2025/07/15 10:46:06,797.872,292.354,303.450,-737.914,28.486,-0.3,1.0,340.268,-538.81,486.60,2.95,
2025/07/15 10:46:07,641.761,289.194,210.990,-606.086,28.471,-0.3,1.0,341.382,-463.51,359.70,2.95,
2025/07/15 10:46:08,609.938,316.285,440.851,-421.514,28.465,-0.3,1.0,341.083,-241.80,523.35,2.95,
2025/07/15 10:46:09,646.864,274.050,45.685,-645.249,28.463,-0.3,0.9,339.080,-553.95,257.96,2.94,
2025/07/15 10:47:00,883.816,292.758,341.901,-815.006,28.474,-0.3,0.9,337.640,-566.96,569.31,2.95,
2025/07/15 10:47:01,643.403,306.973,386.970,-514.025,28.470,-0.3,0.9,338.611,-312.56,507.31,2.95,
2025/07/15 10:47:02,600.089,293.011,234.576,-552.341,28.451,-0.3,1.0,340.535,-402.65,368.65,2.95,
2025/07/15 10:47:03,551.719,319.707,420.824,-356.792,28.445,-0.3,1.0,340.391,-186.72,494.56,2.95,
2025/07/15 10:47:04,824.302,300.384,416.925,-711.089,28.448,-0.3,0.9,338.933,-469.12,588.73,2.95,
2025/07/15 10:47:05,691.615,303.073,377.423,-579.555,28.452,-0.3,0.9,336.757,-353.46,530.32,2.95,
2025/07/15 10:47:06,797.719,294.307,328.361,-727.004,28.457,-0.4,0.9,336.191,-484.68,540.49,2.95,
2025/07/15 10:47:07,847.552,288.883,274.298,-801.938,28.457,-0.3,0.9,336.231,-567.04,522.37,2.95,
2025/07/15 10:47:08,615.382,297.664,285.715,-545.034,28.473,-0.3,0.9,338.207,-364.44,426.06,2.94,
2025/07/15 10:47:09,602.217,313.090,411.405,-439.786,28.498,-0.3,0.9,340.057,-256.34,503.82,2.95,
2025/07/15 10:48:00,830.468,269.688,-4.529,-830.455,28.626,-0.7,0.7,315.204,-538.65,529.03,2.95,
2025/07/15 10:48:01,866.029,269.351,-9.811,-865.973,28.637,-0.7,0.7,315.415,-567.02,546.34,2.95,
2025/07/15 10:48:02,670.148,282.493,144.968,-654.280,28.638,-0.6,0.7,316.463,-344.83,511.81,2.95,
2025/07/15 10:48:03,898.716,272.892,45.342,-897.572,28.632,-0.6,0.8,316.816,-566.83,588.54,2.95,
2025/07/15 10:48:04,898.860,275.006,78.432,-895.431,28.629,-0.6,0.8,318.926,-566.89,588.67,2.95,
2025/07/15 10:48:05,861.148,272.977,44.722,-859.986,28.634,-0.6,0.8,319.349,-566.78,540.27,2.95,
2025/07/15 10:48:06,872.743,274.598,69.962,-869.934,28.647,-0.6,0.8,316.750,-532.93,588.73,2.95,
2025/07/15 10:48:07,887.607,271.671,25.880,-887.229,28.668,-0.7,0.7,315.657,-560.46,580.64,2.95,
2025/07/15 10:48:08,898.122,272.468,38.680,-897.289,28.683,-0.6,0.8,316.344,-565.97,588.64,2.95,
2025/07/15 10:48:09,446.169,227.290,-302.631,-327.843,28.682,-0.6,0.8,316.798,-446.14,3.83,2.94,
2025/07/15 10:49:00,740.545,242.625,-340.509,-657.618,28.608,-0.9,0.5,295.347,-539.16,410.41,2.95,
2025/07/15 10:49:01,880.358,251.493,-279.444,-834.830,28.594,-0.9,0.5,296.584,-566.82,565.01,2.95,
2025/07/15 10:49:02,855.764,255.387,-215.897,-828.082,28.584,-0.8,0.5,298.385,-530.79,569.24,2.95,
2025/07/15 10:49:03,840.594,257.525,-181.580,-820.748,28.584,-0.8,0.6,300.774,-523.77,556.80,2.95,
2025/07/15 10:49:04,879.011,256.140,-210.572,-853.417,28.587,-0.8,0.5,300.348,-557.23,572.84,2.95,
2025/07/15 10:49:05,818.285,258.068,-169.182,-800.605,28.588,-0.8,0.5,299.848,-496.21,555.36,2.95,
2025/07/15 10:49:06,826.275,250.568,-274.895,-779.207,28.586,-0.8,0.5,298.603,-559.10,502.79,2.95,
2025/07/15 10:49:07,518.581,237.501,-278.622,-437.374,28.583,-0.9,0.5,295.507,-406.94,254.23,2.94,
2025/07/15 10:49:08,731.587,263.122,-87.606,-726.323,28.578,-0.9,0.5,294.313,-351.30,580.28,2.95,
2025/07/15 10:49:09,821.454,246.325,-329.854,-752.318,28.577,-0.9,0.4,293.976,-552.34,503.45,2.94,
2025/07/15 10:50:00,800.452,205.916,-719.955,-349.839,28.617,-1.0,-0.2,256.638,-565.31,462.34,2.95,
2025/07/15 10:50:01,866.027,210.218,-748.345,-435.869,28.603,-1.0,-0.2,256.178,-566.01,547.35,2.95,
2025/07/15 10:50:02,714.624,202.987,-657.878,-279.079,28.580,-1.0,-0.2,256.221,-524.26,391.71,2.95,
2025/07/15 10:50:03,583.190,190.069,-574.208,-101.962,28.556,-1.0,-0.2,256.406,-506.76,222.07,2.94,
2025/07/15 10:50:04,647.946,206.441,-580.166,-288.517,28.533,-1.0,-0.2,256.612,-453.69,378.39,2.95,
2025/07/15 10:50:05,641.218,197.593,-611.228,-193.805,28.517,-1.0,-0.2,256.955,-512.31,303.43,2.94,
2025/07/15 10:50:06,642.610,208.480,-564.843,-306.430,28.512,-1.0,-0.2,256.558,-435.13,390.72,2.95,
2025/07/15 10:50:07,745.880,214.320,-616.021,-420.541,28.515,-1.0,-0.2,257.069,-460.53,498.21,2.95,
2025/07/15 10:50:08,815.537,207.234,-725.132,-373.208,28.526,-1.0,-0.2,256.969,-567.13,480.37,2.95,
2025/07/15 10:50:09,835.826,209.195,-729.645,-407.705,28.535,-1.0,-0.2,256.697,-560.62,513.68,2.95,
2025/07/15 10:51:00,759.501,224.669,-540.145,-533.933,28.586,-1.0,0.0,265.117,-448.96,526.63,2.95,
2025/07/15 10:51:01,627.456,233.651,-371.890,-505.370,28.592,-1.0,0.0,264.537,-298.89,499.69,2.95,
2025/07/15 10:51:02,737.997,231.510,-459.316,-577.640,28.589,-1.0,0.0,264.037,-366.68,574.96,2.95,
2025/07/15 10:51:03,751.958,232.068,-462.246,-593.102,28.590,-1.0,0.0,264.286,-370.73,588.30,2.95,
2025/07/15 10:51:04,739.298,221.076,-557.309,-485.766,28.595,-1.0,0.0,264.854,-465.07,485.35,2.95,
2025/07/15 10:51:05,826.805,225.292,-581.657,-587.607,28.599,-1.0,0.0,265.240,-483.98,577.84,2.95,
2025/07/15 10:51:06,653.600,234.246,-381.901,-530.419,28.599,-1.0,0.0,265.456,-314.01,518.29,2.95,
2025/07/15 10:51:07,498.608,236.556,-274.796,-416.049,28.589,-1.0,0.0,265.730,-226.63,405.94,2.94,
2025/07/15 10:51:08,548.227,208.079,-483.701,-258.043,28.583,-1.0,0.0,265.328,-425.82,273.90,2.94,
2025/07/15 10:51:09,655.599,220.787,-496.386,-428.265,28.583,-1.0,0.0,264.527,-412.14,430.67,2.94,
2025/07/15 10:52:00,612.529,198.267,-581.660,-191.999,28.773,-0.7,-0.7,225.744,-264.86,509.30,2.95,
2025/07/15 10:52:01,624.362,210.714,-536.779,-318.897,28.761,-0.8,-0.6,226.730,-167.55,583.71,2.95,
2025/07/15 10:52:02,733.957,187.190,-728.185,-91.861,28.752,-0.8,-0.6,227.543,-433.05,509.69,2.95,
2025/07/15 10:52:03,547.726,200.006,-514.676,-187.383,28.739,-0.8,-0.6,228.173,-241.80,451.58,2.95,
2025/07/15 10:52:04,565.815,194.034,-548.926,-137.209,28.719,-0.8,-0.6,227.910,-290.50,432.70,2.95,
2025/07/15 10:52:05,465.094,201.144,-433.782,-167.768,28.698,-0.8,-0.6,227.752,-195.75,390.77,2.94,
2025/07/15 10:52:06,556.184,197.520,-530.385,-167.430,28.683,-0.8,-0.6,227.253,-256.79,449.60,2.95,
2025/07/15 10:52:07,231.555,194.516,-224.163,-58.041,28.667,-0.8,-0.6,226.442,-113.32,181.87,2.94,
2025/07/15 10:52:08,384.023,176.210,-383.183,25.385,28.651,-0.7,-0.7,225.547,-265.37,227.95,2.94,
2025/07/15 10:52:09,447.060,195.611,-430.569,-120.303,28.644,-0.7,-0.7,223.728,-197.07,368.81,2.94,
2025/07/15 10:53:00,609.240,129.137,-384.535,472.553,28.822,0.5,-0.8,145.075,-162.76,569.92,2.95,
2025/07/15 10:53:01,657.264,124.070,-368.199,544.449,28.818,0.5,-0.8,144.857,-223.42,588.56,2.95,
2025/07/15 10:53:02,648.557,125.174,-373.605,530.137,28.819,0.5,-0.8,144.548,-207.04,588.76,2.95,
2025/07/15 10:53:03,560.001,136.810,-408.289,383.277,28.824,0.5,-0.8,144.711,-76.41,550.60,2.95,
2025/07/15 10:53:04,344.993,136.702,-251.086,236.592,28.829,0.5,-0.8,144.039,-43.77,339.99,2.94,
